epoch,train_loss,val_loss
1,5.342815164175879,4.03422664718663
2,3.8077385925549927,3.614797713017398
3,3.467890948502955,3.3009752371822243
4,3.201478143987708,3.0612190425560466
5,3.0152301728105475,2.9001946262843914
6,2.8874453762606147,2.7950177304549513
7,2.801788534298576,2.7255457050776197
8,2.7538626732951403,2.6772388975446995
9,2.7077442215479737,2.6406277465293906
10,2.669240400046036,2.60699337452184
11,2.641092363237567,2.5807715047908246
12,2.615829140954587,2.5559837397020018
13,2.5910804616277203,2.5357092832795174
14,2.575171790706338,2.516623808028178
15,2.553734380765502,2.4981883008653347
16,2.5379060115124576,2.4819776652159775
17,2.5191234595708294,2.467081702512234
18,2.5013607433256744,2.451755924409096
19,2.4894204030832836,2.4346895794750028
20,2.472083314590492,2.419538984412761
21,2.4561131747303886,2.4060490758680046
22,2.4450276209258277,2.394161158125666
23,2.430812809879441,2.3807868328024293
24,2.418249110457565,2.3713721638989207
25,2.400124432652111,2.3575978634438606
26,2.3889384576505575,2.3475555055384913
27,2.3818078762591033,2.336385230351284
28,2.3713835095579876,2.327465466873955
29,2.364842075047486,2.321088920301983
30,2.3467243620875804,2.3117619637732343
