epoch,train_loss,val_loss
1,5.337158042289881,4.045090883504171
2,3.826176384500255,3.6633141422447197
3,3.524411084003647,3.379562282079716
4,3.289216297153437,3.1677586326055165
5,3.1135816102219196,2.9948237062926237
6,2.9755364308916974,2.8602000752390255
7,2.8607279015862748,2.765029218729856
8,2.7969094265564176,2.7066082177956168
9,2.7438548344795866,2.6638445044835994
10,2.702337059660558,2.631576870161125
11,2.6654272520878695,2.6039895954325094
12,2.6496358434064016,2.578922051295515
13,2.6208771581399435,2.5552900791606885
14,2.594495112592481,2.53362886820129
15,2.586805397853691,2.516408221921245
16,2.5615157976429197,2.49733029666469
17,2.5357728645434294,2.480497576275767
18,2.5264130960542888,2.4669592073452833
19,2.5122830310630704,2.452001985542908
20,2.4961360365049035,2.441126565924454
21,2.4771984161747276,2.426899307236939
22,2.4733514572736826,2.4171215623699425
23,2.4563225823383985,2.4063922249075462
24,2.4478317175719218,2.394776940236096
25,2.4349556778609722,2.387482905234343
26,2.4227135795009436,2.378711086297759
27,2.4143949493315624,2.370451918630942
28,2.4065849094475893,2.362093775450032
29,2.3994580566204085,2.3565896504936465
30,2.393905422603688,2.349274960590703
